FrameIndex,VisualStim,Stim0,Stim1,Position_X,Position_Y,Speed,Motion,Layer1,Layer1_Denoised,Layer2,Layer2_Denoised,Resistant,Resistant_Denoised,Behavior,Behavior_Denoised
452,0,0,0,22.56135999,26.04452847,2.52,1,Layer1_Stationary,Layer1_Stationary,Layer2_Stationary,Layer2_Stationary,,,Stationary,Stationary
453,0,0,0,22.559875860000002,26.01723702,1.64,1,Layer1_Stationary,Layer1_Stationary,Layer2_Stationary,Layer2_Stationary,,,Stationary,Stationary
454,0,0,0,22.5521493,25.9862244,1.92,1,Layer1_Stationary,Layer1_Stationary,Layer2_Stationary,Layer2_Stationary,,,Stationary,Stationary
455,0,0,0,22.59952425,25.95091938,3.54,1,Layer1_Stationary,Layer1_Stationary,Layer2_Stationary,Layer2_Stationary,,,Stationary,Stationary
456,0,0,0,22.62777864,25.88273763,4.43,1,Layer1_Walk,,Layer2_Stationary,Layer2_Stationary,,,Stationary,Stationary
457,0,0,0,22.697719919999997,25.81372128,5.9,1,Layer1_Walk,,Layer2_Stationary,Layer2_Stationary,,,Stationary,Stationary
458,0,0,0,22.71336795,25.83047568,1.38,1,Layer1_Stationary,Layer1_Stationary,Layer2_Stationary,Layer2_Stationary,,,Stationary,Stationary
459,0,0,0,22.71974265,25.8196038,0.76,1,Layer1_Stationary,Layer1_Stationary,Layer2_Stationary,Layer2_Stationary,,,Stationary,Stationary
460,0,0,0,22.70591856,25.82539647,0.9,1,Layer1_Stationary,Layer1_Stationary,Layer2_Stationary,Layer2_Stationary,,,Stationary,Stationary
461,0,0,0,22.72639452,25.78299747,2.83,1,Layer1_Stationary,Layer1_Stationary,Layer2_Stationary,Layer2_Stationary,,,Stationary,Stationary
462,0,0,0,22.76480019,25.785121320000002,2.31,1,Layer1_Stationary,Layer1_Stationary,Layer2_Stationary,Layer2_Stationary,,,Stationary,Stationary
463,0,0,0,22.84337283,25.76612994,4.85,1,Layer1_Walk,,Layer2_Stationary,,,,Stationary,Noisy
464,0,0,0,22.84083723,25.69692672,4.15,1,Layer1_Walk,,Layer2_Walk,,,,Walk,Noisy
465,0,0,0,22.87558437,25.64066784,3.97,1,Layer1_Stationary,,Layer2_Walk,,,,Walk,Noisy
